메뉴 이름,재료,날씨,시간,종류,분류,배달용
에비동,"쌀, 새우, 파, 튀김가루",보통,낮,밥,일식,T
참치김밥,"쌀, 김, 단무지, 달걀, 참치, 마요네즈, 오이, 당근",보통,낮,밥,한식,T
돈까스김밥,"쌀, 김, 단무지, 달걀, 돼지고기, 달걀, 밀가루, 빵가루, 마요네즈, 오이, 당근",보통,낮,밥,한식,T
치즈김밥,"쌀, 김, 단무지, 달걀, 햄, 오이, 당근, 치즈",보통,낮,밥,한식,T
야채김밥,"쌀, 김, 단무지, 달걀, 오이, 당근, 채소",보통,낮,밥,한식,T
소고기김밥,"쌀, 김, 단무지, 달걀, 소고기, 오이, 당근",보통,낮,밥,한식,T
간장닭갈비,"닭고기, 양파, 당근, 감자",보통,밤,메인,한식,T
설렁탕,"소고기, 파, 쌀",추움,낮,국,한식,T
선지해장국,"소고기, 무, 고추, 파, 양파, 콩나물, 쌀",추움,낮,국,한식,T
돼지국밥,"돼지고기, 양파, 마늘, 파, 부추, 쌀",추움,낮,국,한식,T
순대국밥,"돼지내장, 당면, 돼지고기, 양파, 마늘, 파, 부추, 쌀",추움,낮,국,한식,T
소내장탕,"소내장, 마늘, 파, 채소",추움,낮,국,한식,T
콩나물국밥,"콩나물, 해산물, 두부, 파, 마늘, 고추",추움,낮,국,한식,T
김치전,"김치, 밀가루",보통,낮,반찬,한식,T
녹두전,"녹두, 돼지고기, 숙주, 김치",보통,낮,반찬,한식,T
육전,"소고기, 밀가루, 달걀",보통,낮,반찬,한식,T
산적꼬치전,"단무지, 달걀, 밀가루, 파, 햄, 버섯",보통,낮,반찬,한식,T
콩나물무침,"콩나물",보통,낮,반찬,한식,F
시금치무침,"시금치",보통,낮,반찬,한식,F
고사리무침,"고사리",보통,낮,반찬,한식,F
매운탕,"생선, 무, 파, 마늘, 채소",추움,밤,국,한식,T
달걀국,"달걀, 파",추움,낮,국,한식,F
마라탕,"소고기, 청경채, 숙주, 버섯, 배추, 당면, 마라소스, 채소",추움,낮,메인,중식,T
마라샹궈,"마늘, 대파, 배추, 버섯, 당면, 마라소스, 고추, 돼지고기, 삼겹살, 채소",보통,낮,메인,중식,T
라조기,"닭고기, 밀가루, 달걀, 튀김가루, 피망, 죽순, 파, 마늘, 버섯, 고추",보통,낮,메인,중식,T
깐풍기,"돼지고기, 밀가루, 달걀, 피망, 양파, 고추",보통,낮,메인,중식,T
팔보채,"새우, 오징어, 청경채, 표고버섯, 죽순, 피망",보통,낮,메인,중식,T
유산슬,"돼지고기, 버섯, 피망, 양파, 새우",보통,낮,메인,중식,T
양장피,"오이, 당근, 호박, 양파, 버섯, 돼지고기, 오징어, 새우, 해산물",보통,낮,메인,중식,T
깐쇼새우,"달걀, 밀가루, 새우, 양파, 당근, 마늘",보통,낮,메인,중식,T
바질페스토 파스타,"바질, 스파게티, 면, 마늘, 올리브오일",보통,낮,면,양식,T
바질페스토 펜네,"바질, 면, 마늘, 올리브오일",보통,낮,면,양식,T
투움바 파스타,"생크림, 케첩, 새우, 버섯, 스파게티, 면, 마늘, 올리브오일",보통,낮,면,양식,T
메밀소바,"메밀, 면, 파, 쯔유",보통,낮,면,일식,T
야끼소바,"메밀, 면, 양배추, 당근, 파, 쯔유, 채소",보통,낮,면,일식,T
해물 리조또,"양파, 새우, 조개, 낙지, 쌀, 생크림, 마늘, 버터, 해산물",보통,낮,메인,양식,T
바질페스토 리조또,"양파, 바질, 쌀, 생크림, 마늘, 버터",보통,낮,메인,양식,T
크림 치킨 리조또,"양파, 닭고기, 버섯, 쌀, 생크림, 마늘, 버터",보통,낮,메인,양식,T
콥샐러드,"채소, 닭고기, 달걀, 양상추, 양배추, 방울토마토",더움,낮,반찬,양식,T
파스타샐러드,"면, 스파게티, 채소, 올리브오일, 양상추, 양배추, 방울토마토, 치즈",더움,낮,반찬,양식,T
토마토샐러드,"채소, 양상추, 양배추, 방울토마토",더움,낮,반찬,양식,T
곱창전골,"돼지내장, 돼지고기, 양파, 파, 마늘",추움,밤,메인,한식,T
버섯전골,"버섯, 양파, 파, 마늘",추움,밤,메인,한식,T
소불고기전골,"소고기, 양파, 파, 마늘",추움,밤,메인,한식,T
김치전골,"돼지고기, 양파, 파, 마늘, 김치",추움,밤,메인,한식,T
스키야끼,"소고기, 버섯, 배추, 달걀, 두부, 파, 양파, 무, 쯔유",추움,밤,메인,일식,T
고르곤졸라피자,"밀가루, 치즈",보통,밤,메인,양식,T
페퍼로니 피자,"밀가루, 돼지고기, 소고기, 토마토, 치즈",보통,밤,메인,양식,T
고구마 피자,"밀가루, 고구마, 양파, 옥수수, 버섯, 피망, 치즈",보통,밤,메인,양식,T
마르게리따 피자,"밀가루, 바질, 토마토, 돼지고기, 양파, 옥수수, 버섯, 피망, 치즈",보통,밤,메인,양식,T
참치샌드위치,"빵, 밀가루, 참치, 마요네즈, 양상추",보통,낮,메인,양식,T
달걀샌드위치,"빵, 밀가루, 달걀, 마요네즈, 양상추, 치즈",보통,낮,메인,양식,T
프렌치토스트,"빵, 달걀",보통,낮,메인,분식,T
피자토스트,"빵, 햄, 치즈, 토마토, 양파, 옥수수",보통,낮,메인,분식,T
새우버거,"빵, 밀가루, 새우, 튀김가루, 양상추, 토마토, 양파",보통,낮,메인,양식,T
간장치킨,"닭고기, 튀김가루",보통,낮,메인,한식,T
오므라이스,"쌀, 달걀, 양파, 파, 당근, 케첩",보통,낮,밥,일식,T
배추된장국,"된장, 무, 마늘, 파, 감자, 두부, 배추",추움,낮,국,한식,F
돼지곱창볶음,"돼지내장, 돼지고기, 당근, 당면, 양배추, 양파, 파, 고추, 당근, 깻잎, 고추장",보통,밤,메인,한식,T
갈치조림,"갈치, 생선, 무, 파, 양파, 감자, 고추장, 고추, 마늘",추움,밤,메인,한식,T
닭개장,"닭고기, 고사리, 무, 파, 양파, 버섯, 마늘, 고추",추움,낮,국,한식,T
막국수,"면, 메밀, 밀가루, 마늘, 고추장",더움,낮,면,한식,T
고기국수,"밀가루, 면, 돼지고기, 파, 양파, 콩나물",추움,낮,면,한식,T
김치말이국수,"밀가루, 면, 김치, 고추, 달걀",더움,낮,면,한식,T
닭칼국수,"닭고기, 밀가루, 면, 호박, 파, 마늘, 고추",추움,낮,면,한식,T
팥칼국수,"팥, 면, 밀가루",추움,낮,면,한식,T
